"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","South Dakota","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,728"
"Government Organization","South Dakota","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,768"
"Government Organization","South Dakota","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,763"
"Government Organization","South Dakota","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,786"
"Government Organization","South Dakota","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,811"
"Government Organization","South Dakota","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,867"
"Government Organization","South Dakota","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,984"
"Government Organization","South Dakota","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,984"
"Government Organization","South Dakota","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,917"
"Government Organization","Tennessee","1942","GO0001","Total Federal, state, and local government units","State and Local ","328"
"Government Organization","Tennessee","1952","GO0001","Total Federal, state, and local government units","State and Local ","435"
"Government Organization","Tennessee","1957","GO0001","Total Federal, state, and local government units","State and Local ","560"
"Government Organization","Tennessee","1962","GO0001","Total Federal, state, and local government units","State and Local ","658"
"Government Organization","Tennessee","1967","GO0001","Total Federal, state, and local government units","State and Local ","792"
"Government Organization","Tennessee","1972","GO0001","Total Federal, state, and local government units","State and Local ","882"
"Government Organization","Tennessee","1977","GO0001","Total Federal, state, and local government units","State and Local ","906"
"Government Organization","Tennessee","1982","GO0001","Total Federal, state, and local government units","State and Local ","914"
"Government Organization","Tennessee","1987","GO0001","Total Federal, state, and local government units","State and Local ","905"
"Government Organization","Tennessee","1992","GO0001","Total Federal, state, and local government units","State and Local ","924"
"Government Organization","Tennessee","1997","GO0001","Total Federal, state, and local government units","State and Local ","941"
"Government Organization","Tennessee","2002","GO0001","Total Federal, state, and local government units","State and Local ","931"
"Government Organization","Tennessee","2007","GO0001","Total Federal, state, and local government units","State and Local ","929"
"Government Organization","Tennessee","2012","GO0001","Total Federal, state, and local government units","State and Local ","917"
"Government Organization","Tennessee","2017","GO0001","Total Federal, state, and local government units","State and Local ","907"
"Government Organization","Texas","1942","GO0001","Total Federal, state, and local government units","State and Local ","7,360"
"Government Organization","Texas","1952","GO0001","Total Federal, state, and local government units","State and Local ","3,963"
"Government Organization","Texas","1957","GO0001","Total Federal, state, and local government units","State and Local ","3,485"
"Government Organization","Texas","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,328"
"Government Organization","Texas","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,447"
"Government Organization","Texas","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,625"
"Government Organization","Texas","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,884"
"Government Organization","Texas","1982","GO0001","Total Federal, state, and local government units","State and Local ","4,181"
"Government Organization","Texas","1987","GO0001","Total Federal, state, and local government units","State and Local ","4,416"
"Government Organization","Texas","1992","GO0001","Total Federal, state, and local government units","State and Local ","4,792"
"Government Organization","Texas","1997","GO0001","Total Federal, state, and local government units","State and Local ","4,701"
"Government Organization","Texas","2002","GO0001","Total Federal, state, and local government units","State and Local ","4,785"
"Government Organization","Texas","2007","GO0001","Total Federal, state, and local government units","State and Local ","4,836"
"Government Organization","Texas","2012","GO0001","Total Federal, state, and local government units","State and Local ","5,148"
"Government Organization","Texas","2017","GO0001","Total Federal, state, and local government units","State and Local ","5,344"
"Government Organization","Utah","1942","GO0001","Total Federal, state, and local government units","State and Local ","303"
"Government Organization","Utah","1952","GO0001","Total Federal, state, and local government units","State and Local ","385"
"Government Organization","Utah","1957","GO0001","Total Federal, state, and local government units","State and Local ","398"
"Government Organization","Utah","1962","GO0001","Total Federal, state, and local government units","State and Local ","424"
"Government Organization","Utah","1967","GO0001","Total Federal, state, and local government units","State and Local ","446"
"Government Organization","Utah","1972","GO0001","Total Federal, state, and local government units","State and Local ","460"
"Government Organization","Utah","1977","GO0001","Total Federal, state, and local government units","State and Local ","493"
"Government Organization","Utah","1982","GO0001","Total Federal, state, and local government units","State and Local ","505"
"Government Organization","Utah","1987","GO0001","Total Federal, state, and local government units","State and Local ","531"
"Government Organization","Utah","1992","GO0001","Total Federal, state, and local government units","State and Local ","627"
"Government Organization","Utah","1997","GO0001","Total Federal, state, and local government units","State and Local ","684"
"Government Organization","Utah","2002","GO0001","Total Federal, state, and local government units","State and Local ","606"
"Government Organization","Utah","2007","GO0001","Total Federal, state, and local government units","State and Local ","600"
"Government Organization","Utah","2012","GO0001","Total Federal, state, and local government units","State and Local ","623"
"Government Organization","Utah","2017","GO0001","Total Federal, state, and local government units","State and Local ","620"
"Government Organization","Vermont","1942","GO0001","Total Federal, state, and local government units","State and Local ","398"
"Government Organization","Vermont","1952","GO0001","Total Federal, state, and local government units","State and Local ","414"
"Government Organization","Vermont","1957","GO0001","Total Federal, state, and local government units","State and Local ","409"
"Government Organization","Vermont","1962","GO0001","Total Federal, state, and local government units","State and Local ","425"
"Government Organization","Vermont","1967","GO0001","Total Federal, state, and local government units","State and Local ","657"
"Government Organization","Vermont","1972","GO0001","Total Federal, state, and local government units","State and Local ","659"
"Government Organization","Vermont","1977","GO0001","Total Federal, state, and local government units","State and Local ","648"
"Government Organization","Vermont","1982","GO0001","Total Federal, state, and local government units","State and Local ","665"
"Government Organization","Vermont","1987","GO0001","Total Federal, state, and local government units","State and Local ","674"
"Government Organization","Vermont","1992","GO0001","Total Federal, state, and local government units","State and Local ","682"
"Government Organization","Vermont","1997","GO0001","Total Federal, state, and local government units","State and Local ","692"
"Government Organization","Vermont","2002","GO0001","Total Federal, state, and local government units","State and Local ","734"
"Government Organization","Vermont","2007","GO0001","Total Federal, state, and local government units","State and Local ","734"
"Government Organization","Vermont","2012","GO0001","Total Federal, state, and local government units","State and Local ","739"
"Government Organization","Vermont","2017","GO0001","Total Federal, state, and local government units","State and Local ","730"
"Government Organization","Virginia","1942","GO0001","Total Federal, state, and local government units","State and Local ","323"
"Government Organization","Virginia","1952","GO0001","Total Federal, state, and local government units","State and Local ","366"
"Government Organization","Virginia","1957","GO0001","Total Federal, state, and local government units","State and Local ","367"
"Government Organization","Virginia","1962","GO0001","Total Federal, state, and local government units","State and Local ","381"
"Government Organization","Virginia","1967","GO0001","Total Federal, state, and local government units","State and Local ","374"
"Government Organization","Virginia","1972","GO0001","Total Federal, state, and local government units","State and Local ","386"
"Government Organization","Virginia","1977","GO0001","Total Federal, state, and local government units","State and Local ","390"
"Government Organization","Virginia","1982","GO0001","Total Federal, state, and local government units","State and Local ","408"
"Government Organization","Virginia","1987","GO0001","Total Federal, state, and local government units","State and Local ","431"
"Government Organization","Virginia","1992","GO0001","Total Federal, state, and local government units","State and Local ","455"
"Government Organization","Virginia","1997","GO0001","Total Federal, state, and local government units","State and Local ","484"
"Government Organization","Virginia","2002","GO0001","Total Federal, state, and local government units","State and Local ","522"
"Government Organization","Virginia","2007","GO0001","Total Federal, state, and local government units","State and Local ","512"
"Government Organization","Virginia","2012","GO0001","Total Federal, state, and local government units","State and Local ","519"
"Government Organization","Virginia","2017","GO0001","Total Federal, state, and local government units","State and Local ","518"
"Government Organization","Washington","1942","GO0001","Total Federal, state, and local government units","State and Local ","1,906"
"Government Organization","Washington","1952","GO0001","Total Federal, state, and local government units","State and Local ","1,539"
"Government Organization","Washington","1957","GO0001","Total Federal, state, and local government units","State and Local ","1,577"
"Government Organization","Washington","1962","GO0001","Total Federal, state, and local government units","State and Local ","1,647"
"Government Organization","Washington","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,653"
"Government Organization","Washington","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,683"
"Government Organization","Washington","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,667"
"Government Organization","Washington","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,735"
"Government Organization","Washington","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,780"
"Government Organization","Washington","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,761"
"Government Organization","Washington","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,813"
"Government Organization","Washington","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,788"
"Government Organization","Washington","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,846"
"Government Organization","Washington","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,901"
"Government Organization","Washington","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,901"
"Government Organization","West Virginia","1942","GO0001","Total Federal, state, and local government units","State and Local ","326"
"Government Organization","West Virginia","1952","GO0001","Total Federal, state, and local government units","State and Local ","350"
"Government Organization","West Virginia","1957","GO0001","Total Federal, state, and local government units","State and Local ","362"
"Government Organization","West Virginia","1962","GO0001","Total Federal, state, and local government units","State and Local ","390"
"Government Organization","West Virginia","1967","GO0001","Total Federal, state, and local government units","State and Local ","456"
"Government Organization","West Virginia","1972","GO0001","Total Federal, state, and local government units","State and Local ","509"
"Government Organization","West Virginia","1977","GO0001","Total Federal, state, and local government units","State and Local ","596"
"Government Organization","West Virginia","1982","GO0001","Total Federal, state, and local government units","State and Local ","634"
"Government Organization","West Virginia","1987","GO0001","Total Federal, state, and local government units","State and Local ","631"
"Government Organization","West Virginia","1992","GO0001","Total Federal, state, and local government units","State and Local ","692"
"Government Organization","West Virginia","1997","GO0001","Total Federal, state, and local government units","State and Local ","705"
"Government Organization","West Virginia","2002","GO0001","Total Federal, state, and local government units","State and Local ","687"
"Government Organization","West Virginia","2007","GO0001","Total Federal, state, and local government units","State and Local ","664"
"Government Organization","West Virginia","2012","GO0001","Total Federal, state, and local government units","State and Local ","660"
"Government Organization","West Virginia","2017","GO0001","Total Federal, state, and local government units","State and Local ","652"
"Government Organization","Wisconsin","1942","GO0001","Total Federal, state, and local government units","State and Local ","8,508"
"Government Organization","Wisconsin","1952","GO0001","Total Federal, state, and local government units","State and Local ","7,258"
"Government Organization","Wisconsin","1957","GO0001","Total Federal, state, and local government units","State and Local ","5,731"
"Government Organization","Wisconsin","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,727"
"Government Organization","Wisconsin","1967","GO0001","Total Federal, state, and local government units","State and Local ","2,491"
"Government Organization","Wisconsin","1972","GO0001","Total Federal, state, and local government units","State and Local ","2,449"
"Government Organization","Wisconsin","1977","GO0001","Total Federal, state, and local government units","State and Local ","2,519"
"Government Organization","Wisconsin","1982","GO0001","Total Federal, state, and local government units","State and Local ","2,593"
"Government Organization","Wisconsin","1987","GO0001","Total Federal, state, and local government units","State and Local ","2,720"
"Government Organization","Wisconsin","1992","GO0001","Total Federal, state, and local government units","State and Local ","2,739"
"Government Organization","Wisconsin","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,060"
"Government Organization","Wisconsin","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,049"
"Government Organization","Wisconsin","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,121"
"Government Organization","Wisconsin","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,129"
"Government Organization","Wisconsin","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,097"
"Government Organization","Wyoming","1942","GO0001","Total Federal, state, and local government units","State and Local ","531"
"Government Organization","Wyoming","1952","GO0001","Total Federal, state, and local government units","State and Local ","519"
"Government Organization","Wyoming","1957","GO0001","Total Federal, state, and local government units","State and Local ","489"
"Government Organization","Wyoming","1962","GO0001","Total Federal, state, and local government units","State and Local ","465"
"Government Organization","Wyoming","1967","GO0001","Total Federal, state, and local government units","State and Local ","473"
"Government Organization","Wyoming","1972","GO0001","Total Federal, state, and local government units","State and Local ","384"
"Government Organization","Wyoming","1977","GO0001","Total Federal, state, and local government units","State and Local ","386"
"Government Organization","Wyoming","1982","GO0001","Total Federal, state, and local government units","State and Local ","396"
"Government Organization","Wyoming","1987","GO0001","Total Federal, state, and local government units","State and Local ","425"
"Government Organization","Wyoming","1992","GO0001","Total Federal, state, and local government units","State and Local ","550"
"Government Organization","Wyoming","1997","GO0001","Total Federal, state, and local government units","State and Local ","655"
"Government Organization","Wyoming","2002","GO0001","Total Federal, state, and local government units","State and Local ","723"
"Government Organization","Wyoming","2007","GO0001","Total Federal, state, and local government units","State and Local ","727"
"Government Organization","Wyoming","2012","GO0001","Total Federal, state, and local government units","State and Local ","806"
"Government Organization","Wyoming","2017","GO0001","Total Federal, state, and local government units","State and Local ","795"
"Government Organization","United States","1942","GO0001","Total Federal, state, and local government units","State and Local ","155,116"
"Government Organization","United States","1952","GO0001","Total Federal, state, and local government units","State and Local ","116,807"
"Government Organization","United States","1957","GO0001","Total Federal, state, and local government units","State and Local ","102,392"
"Government Organization","United States","1962","GO0001","Total Federal, state, and local government units","State and Local ","91,236"
"Government Organization","United States","1967","GO0001","Total Federal, state, and local government units","State and Local ","81,299"
"Government Organization","United States","1972","GO0001","Total Federal, state, and local government units","State and Local ","78,269"
"Government Organization","United States","1977","GO0001","Total Federal, state, and local government units","State and Local ","79,913"
"Government Organization","United States","1982","GO0001","Total Federal, state, and local government units","State and Local ","81,831"
"Government Organization","United States","1987","GO0001","Total Federal, state, and local government units","State and Local ","83,237"
"Government Organization","United States","1992","GO0001","Total Federal, state, and local government units","State and Local ","85,006"
"Government Organization","United States","1997","GO0001","Total Federal, state, and local government units","State and Local ","87,504"
"Government Organization","United States","2002","GO0001","Total Federal, state, and local government units","State and Local ","87,576"
"Government Organization","United States","2007","GO0001","Total Federal, state, and local government units","State and Local ","89,527"
"Government Organization","United States","2012","GO0001","Total Federal, state, and local government units","State and Local ","90,107"
"Government Organization","United States","2017","GO0001","Total Federal, state, and local government units","State and Local ","90,126"
