"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","Hawaii","1967","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","1972","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","1977","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","1982","GO0001","Total Federal, state, and local government units","State and Local ","19"
"Government Organization","Hawaii","1987","GO0001","Total Federal, state, and local government units","State and Local ","19"
"Government Organization","Hawaii","1992","GO0001","Total Federal, state, and local government units","State and Local ","21"
"Government Organization","Hawaii","1997","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","2002","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","2007","GO0001","Total Federal, state, and local government units","State and Local ","20"
"Government Organization","Hawaii","2012","GO0001","Total Federal, state, and local government units","State and Local ","22"
"Government Organization","Hawaii","2017","GO0001","Total Federal, state, and local government units","State and Local ","22"
"Government Organization","Idaho","1942","GO0001","Total Federal, state, and local government units","State and Local ","1,666"
"Government Organization","Idaho","1952","GO0001","Total Federal, state, and local government units","State and Local ","938"
"Government Organization","Idaho","1957","GO0001","Total Federal, state, and local government units","State and Local ","843"
"Government Organization","Idaho","1962","GO0001","Total Federal, state, and local government units","State and Local ","835"
"Government Organization","Idaho","1967","GO0001","Total Federal, state, and local government units","State and Local ","872"
"Government Organization","Idaho","1972","GO0001","Total Federal, state, and local government units","State and Local ","902"
"Government Organization","Idaho","1977","GO0001","Total Federal, state, and local government units","State and Local ","973"
"Government Organization","Idaho","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,019"
"Government Organization","Idaho","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,066"
"Government Organization","Idaho","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,087"
"Government Organization","Idaho","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,148"
"Government Organization","Idaho","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,159"
"Government Organization","Idaho","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,241"
"Government Organization","Idaho","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,169"
"Government Organization","Idaho","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,171"
"Government Organization","Illinois","1942","GO0001","Total Federal, state, and local government units","State and Local ","15,854"
"Government Organization","Illinois","1952","GO0001","Total Federal, state, and local government units","State and Local ","7,723"
"Government Organization","Illinois","1957","GO0001","Total Federal, state, and local government units","State and Local ","6,510"
"Government Organization","Illinois","1962","GO0001","Total Federal, state, and local government units","State and Local ","6,453"
"Government Organization","Illinois","1967","GO0001","Total Federal, state, and local government units","State and Local ","6,454"
"Government Organization","Illinois","1972","GO0001","Total Federal, state, and local government units","State and Local ","6,386"
"Government Organization","Illinois","1977","GO0001","Total Federal, state, and local government units","State and Local ","6,621"
"Government Organization","Illinois","1982","GO0001","Total Federal, state, and local government units","State and Local ","6,468"
"Government Organization","Illinois","1987","GO0001","Total Federal, state, and local government units","State and Local ","6,628"
"Government Organization","Illinois","1992","GO0001","Total Federal, state, and local government units","State and Local ","6,723"
"Government Organization","Illinois","1997","GO0001","Total Federal, state, and local government units","State and Local ","6,836"
"Government Organization","Illinois","2002","GO0001","Total Federal, state, and local government units","State and Local ","6,904"
"Government Organization","Illinois","2007","GO0001","Total Federal, state, and local government units","State and Local ","6,995"
"Government Organization","Illinois","2012","GO0001","Total Federal, state, and local government units","State and Local ","6,964"
"Government Organization","Illinois","2017","GO0001","Total Federal, state, and local government units","State and Local ","6,919"
"Government Organization","Indiana","1942","GO0001","Total Federal, state, and local government units","State and Local ","3,043"
"Government Organization","Indiana","1952","GO0001","Total Federal, state, and local government units","State and Local ","3,050"
"Government Organization","Indiana","1957","GO0001","Total Federal, state, and local government units","State and Local ","2,989"
"Government Organization","Indiana","1962","GO0001","Total Federal, state, and local government units","State and Local ","3,092"
"Government Organization","Indiana","1967","GO0001","Total Federal, state, and local government units","State and Local ","2,670"
"Government Organization","Indiana","1972","GO0001","Total Federal, state, and local government units","State and Local ","2,793"
"Government Organization","Indiana","1977","GO0001","Total Federal, state, and local government units","State and Local ","2,855"
"Government Organization","Indiana","1982","GO0001","Total Federal, state, and local government units","State and Local ","2,866"
"Government Organization","Indiana","1987","GO0001","Total Federal, state, and local government units","State and Local ","2,807"
"Government Organization","Indiana","1992","GO0001","Total Federal, state, and local government units","State and Local ","2,899"
"Government Organization","Indiana","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,199"
"Government Organization","Indiana","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,086"
"Government Organization","Indiana","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,232"
"Government Organization","Indiana","2012","GO0001","Total Federal, state, and local government units","State and Local ","2,710"
"Government Organization","Indiana","2017","GO0001","Total Federal, state, and local government units","State and Local ","2,639"
"Government Organization","Iowa","1942","GO0001","Total Federal, state, and local government units","State and Local ","7,519"
"Government Organization","Iowa","1952","GO0001","Total Federal, state, and local government units","State and Local ","5,857"
"Government Organization","Iowa","1957","GO0001","Total Federal, state, and local government units","State and Local ","4,906"
"Government Organization","Iowa","1962","GO0001","Total Federal, state, and local government units","State and Local ","2,643"
"Government Organization","Iowa","1967","GO0001","Total Federal, state, and local government units","State and Local ","1,803"
"Government Organization","Iowa","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,819"
